,cash,SPY,LQD,EEM,EFA,TLT,IEF,SHY
2005-01-03,0.0,5.30591482091321e-17,1.5414759512605627e-17,0.20452251793095336,0.3806760401754539,0.41480144189359275,0.0,7.489716788151218e-17
2005-01-04,0.0,5.24107787666045e-17,1.532823807437278e-17,0.1982256572254943,0.3733783338308414,0.41045419000128663,0.0,7.473166678714073e-17
2005-01-05,0.0,5.2049107572227615e-17,1.534060473738683e-17,0.19579904640663365,0.3731390268483893,0.41265110815071127,0.0,7.475003573239762e-17
2005-01-06,0.0,5.231375356349656e-17,1.535158482878276e-17,0.19566593424485546,0.3731390268483893,0.4129316922199964,0.0,7.478681066641078e-17
2005-01-07,0.0,5.2238766435754716e-17,1.5344722403063983e-17,0.19604476177861924,0.3714641727959755,0.41386630534664537,0.0,7.479601597600762e-17
2005-01-10,0.0,5.2485770621518234e-17,1.531863299107124e-17,0.19629047715060483,0.37313902684838934,0.41452091940316604,0.0,7.475003573239762e-17
2005-01-11,0.0,5.212409942714135e-17,1.5354334844971537e-17,0.19592180608091045,0.37242112857986,0.41695149853161034,0.0,7.476844635159132e-17
2005-01-12,0.0,5.229609284930356e-17,1.5369432602044623e-17,0.19832806721723878,0.37541205764162544,0.41751248193360496,0.0,7.47776377698759e-17
2005-01-13,0.0,5.1877090514205945e-17,1.541064079569905e-17,0.19750893430085684,0.3721818896338889,0.4215325345606533,0.0,7.486961677884558e-17
2005-01-14,0.0,5.21505574082276e-17,1.5428484364043188e-17,0.20104133780243957,0.37397651057166376,0.4214857038386756,0.0,7.48327955404582e-17
2005-01-18,0.0,5.2693057109035085e-17,1.5436730207691793e-17,0.2006830069687821,0.3742635791637675,0.42288813155423266,0.0,7.480525369866644e-17
2005-01-19,0.0,5.2141727051131105e-17,1.546006539857804e-17,0.1979184640046543,0.37038740476907606,0.42410323638187897,0.0,7.481440807345162e-17
2005-01-20,0.0,5.182416982486157e-17,1.5432616746932357e-17,0.19546112651283096,0.3679228739606935,0.42494498858973456,0.0,7.487878041450563e-17
2005-01-21,0.0,5.1506607871420137e-17,1.5466941490279406e-17,0.19812321047935627,0.369382392550789,0.42541221817948577,0.0,7.495236269559389e-17
2005-01-24,0.0,5.140517221693584e-17,1.5494406961595966e-17,0.19781610301876779,0.37002848965305185,0.42723526028882153,0.0,7.490637782154646e-17
2005-01-25,0.0,5.1550712385183695e-17,1.5442228137610478e-17,0.19960790420462918,0.37014814314427796,0.42321514608291455,0.0,7.487878041450563e-17
2005-01-26,0.0,5.1705087637699945e-17,1.544771765769373e-17,0.2025260070247835,0.3746224942797918,0.42401003677936316,0.0,7.485122931183901e-17
2005-01-27,0.0,5.179328721088328e-17,1.541475951260563e-17,0.20272051127516458,0.3751727733380005,0.42321514608291455,0.0,7.483279554045821e-17
2005-01-28,0.0,5.179328721088328e-17,1.5504017301044664e-17,0.20290481005561828,0.37433538033003405,0.4274687981101239,0.0,7.486961677884559e-17
2005-01-31,0.0,5.211528325156053e-17,1.5504017301044664e-17,0.20557722200671597,0.3761298651948469,0.4286842108320632,0.0,7.486035590399966e-17
2005-02-01,0.0,0.14483099597431717,0.14483099597431717,0.14483099597431717,0.14483099597431717,0.1448309959743172,0.14483099597431717,0.14483099597431717
2005-02-02,0.0,0.14526943409597506,0.1447021106435684,0.14528874392393024,0.1450324242196517,0.14516440618714602,0.14484790201180647,0.1447774653399001
2005-02-03,0.0,0.14489189378404543,0.14488243420607538,0.14513855179643043,0.14424502289698032,0.14508514038610226,0.1446104330307254,0.1446884237525863
2005-02-04,0.0,0.14643872425952958,0.14534611494788216,0.14740574261133085,0.14498662771596232,0.14710146940952487,0.14535695376288213,0.14483099597431717
2005-02-07,0.0,0.1462438382142062,0.14539761211211902,0.1478706450121456,0.14407102742560107,0.14819691694545334,0.14564529171339857,0.14479535963596254
2005-02-08,0.0,0.14641435208144538,0.14592581409593836,0.1481567203647418,0.14407102742560107,0.14903839718823736,0.1457810227556089,0.14474186482596202
