,cash,LQD,EFA,IEF,EEM,TLT,SHY,SPY
2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999690479,7.410214108993785e-11
2005-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.9977896715679295,7.319665773415325e-11
2005-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9980351743112961,7.269156262135296e-11
2005-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9985255615589373,7.306110657078237e-11
2005-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9986490857294854,7.295641950680555e-11
2005-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9980351743112961,7.330137120591564e-11
2005-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.998281109822027,7.279628269506174e-11
2005-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.9984024083318443,7.303650771851664e-11
2005-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.9996322713572261,7.245133099595165e-11
2005-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9991400912162186,7.283321398319231e-11
2005-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9987727953717611,7.359089956504432e-11
2005-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.9988940938815787,7.282090795511305e-11
2005-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.9997539408104987,7.237742880801218e-11
2005-01-21,0.0,0.0,0.0,0.0,0.0,0.0,1.000737002790421,7.193389024339375e-11
2005-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1.000122164013594,7.179220587182243e-11
2005-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.9997539408104987,7.19954731993612e-11
2005-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.9993859030791311,7.221111917638957e-11
2005-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.9991400912162187,7.233428508832445e-11
2005-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.9996322713572262,7.233428508832445e-11
2005-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.9995080671236771,7.278396346308972e-11
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9997673566294578,1.0056843839236962e-10
2005-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.9993986388350778,1.0087291940687432e-10
2005-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.9987826872278666,1.0061074303347393e-10
2005-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.9997673566294578,1.016848385634443e-10
2005-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9995208028796275,1.0154952172556022e-10
2005-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9991515286700648,1.0166790582944326e-10
2005-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0009970960070589,1.0090674861634534e-10
2005-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0002582384683876,1.0127041261815879e-10
2005-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9997673566294577,1.0214156914983409e-10
2005-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9992749291927983,1.0206539904072773e-10
2005-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9993986388350777,1.0244597764727668e-10
2005-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9989048512724162,1.0251367232474977e-10
2005-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9993986388350776,1.0168483856344429e-10
2005-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9980447570478329,1.0182015540132836e-10
2005-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.9984137221378497,1.0030625295433647e-10
2005-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.9982904452629346,1.0102511459096284e-10
2005-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.998044757047833,1.016932777365465e-10
2005-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.9975517731959909,1.0269973297684034e-10
2005-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.9969371198908725,1.0202313065815443e-10
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9967266095401777,1.0026256404641576e-10
2005-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.9973443540407926,1.0021296928311257e-10
2005-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.9977133191308316,1.0025431154871508e-10
2005-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.9977133191308316,1.0150318657937655e-10
2005-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9973443540407927,1.0155280793504613e-10
2005-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9973443540407927,1.0117234208509083e-10
2005-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9969744615921159,1.000475470359697e-10
2005-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9962344293991255,1.0027089632121558e-10
2005-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9959876901775528,9.956788279528588e-11
2005-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9956171176658749,1.0018814087703351e-10
2005-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9952477198084716,9.936110941841837e-11
2005-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9964810449728797,9.851755523615763e-11
2005-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9968503191824647,9.871604065883595e-11
2005-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9963575826262296,9.842292186832475e-11
2005-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.9969744615921158,9.80576048030853e-11
2005-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.9952477198084715,9.706126861183547e-11
